experiment,fri,gsi,adopters,N,avg_of_thresholds,experiment_id,topology
0,0.49,0.0,0,400,0,MD-B,lattice
1,0.655,0.0,0,400,0,MD-B,lattice
2,0.57,0.0,0,400,0,MD-B,lattice
3,0.65,0.0,0,400,0,MD-B,lattice
4,0.445,0.0,0,400,0,MD-B,lattice
5,0.6625,0.0,0,400,0,MD-B,lattice
6,0.515,0.0,0,400,0,MD-B,lattice
7,0.7925,0.0,0,400,0,MD-B,lattice
8,0.755,0.0,0,400,0,MD-B,lattice
9,0.55,0.0,0,400,0,MD-B,lattice
10,0.535,0.0,0,400,0,MD-B,lattice
11,0.515,0.0,0,400,0,MD-B,lattice
12,0.5225,0.0,0,400,0,MD-B,lattice
13,0.4475,0.0,0,400,0,MD-B,lattice
14,0.505,0.0,0,400,0,MD-B,lattice
15,0.7425,0.0,0,400,0,MD-B,lattice
16,0.6075,0.0,0,400,0,MD-B,lattice
17,0.3875,0.0,0,400,0,MD-B,lattice
18,0.5125,0.0,0,400,0,MD-B,lattice
19,0.6425,0.0,0,400,0,MD-B,lattice
20,0.5125,0.0,0,400,0,MD-B,lattice
21,0.6525,0.0,0,400,0,MD-B,lattice
22,0.65,0.0,0,400,0,MD-B,lattice
23,0.5875,0.0,0,400,0,MD-B,lattice
24,0.5425,0.0,0,400,0,MD-B,lattice
25,0.5725,0.0,0,400,0,MD-B,lattice
26,0.425,0.0,0,400,0,MD-B,lattice
27,0.5775,0.0,0,400,0,MD-B,lattice
28,0.6575,0.0,0,400,0,MD-B,lattice
29,0.6125,0.0,0,400,0,MD-B,lattice
30,0.78,0.0,0,400,0,MD-B,lattice
31,0.6675,0.0,0,400,0,MD-B,lattice
32,0.6475,0.0,0,400,0,MD-B,lattice
33,0.6675,0.0,0,400,0,MD-B,lattice
34,0.68,0.0,0,400,0,MD-B,lattice
35,0.6275,0.0,0,400,0,MD-B,lattice
36,0.6875,0.0,0,400,0,MD-B,lattice
37,0.6325,0.0,0,400,0,MD-B,lattice
38,0.5375,0.0,0,400,0,MD-B,lattice
39,0.59,0.0,0,400,0,MD-B,lattice
40,0.6825,0.0,0,400,0,MD-B,lattice
41,0.675,0.0,0,400,0,MD-B,lattice
42,0.6575,0.0,0,400,0,MD-B,lattice
43,0.675,0.0,0,400,0,MD-B,lattice
44,0.69,0.0,0,400,0,MD-B,lattice
45,0.5275,0.0,0,400,0,MD-B,lattice
46,0.61,0.0,0,400,0,MD-B,lattice
47,0.66,0.0,0,400,0,MD-B,lattice
48,0.5775,0.0,0,400,0,MD-B,lattice
49,0.5225,0.0,0,400,0,MD-B,lattice
50,0.5,0.0,0,400,0,MD-B,lattice
51,0.5125,0.0,0,400,0,MD-B,lattice
52,0.5375,0.0,0,400,0,MD-B,lattice
53,0.52,0.0,0,400,0,MD-B,lattice
54,0.49,0.0,0,400,0,MD-B,lattice
55,0.705,0.0,0,400,0,MD-B,lattice
56,0.625,0.0,0,400,0,MD-B,lattice
57,0.63,0.0,0,400,0,MD-B,lattice
58,0.5425,0.0,0,400,0,MD-B,lattice
59,0.5975,0.0,0,400,0,MD-B,lattice
60,0.75,0.0,0,400,0,MD-B,lattice
61,0.5325,0.0,0,400,0,MD-B,lattice
62,0.545,0.0,0,400,0,MD-B,lattice
63,0.66,0.0,0,400,0,MD-B,lattice
64,0.5975,0.0,0,400,0,MD-B,lattice
65,0.5375,0.0,0,400,0,MD-B,lattice
66,0.5425,0.0,0,400,0,MD-B,lattice
67,0.65,0.0,0,400,0,MD-B,lattice
68,0.605,0.0,0,400,0,MD-B,lattice
69,0.4575,0.0,0,400,0,MD-B,lattice
70,0.6075,0.0,0,400,0,MD-B,lattice
71,0.67,0.0,0,400,0,MD-B,lattice
72,0.6025,0.0,0,400,0,MD-B,lattice
73,0.5225,0.0,0,400,0,MD-B,lattice
74,0.4625,0.0,0,400,0,MD-B,lattice
75,0.6725,0.0,0,400,0,MD-B,lattice
76,0.4925,0.0,0,400,0,MD-B,lattice
77,0.655,0.0,0,400,0,MD-B,lattice
78,0.7675,0.0,0,400,0,MD-B,lattice
79,0.585,0.0,0,400,0,MD-B,lattice
80,0.655,0.0,0,400,0,MD-B,lattice
81,0.54,0.0,0,400,0,MD-B,lattice
82,0.435,0.0,0,400,0,MD-B,lattice
83,0.4975,0.0,0,400,0,MD-B,lattice
84,0.695,0.0,0,400,0,MD-B,lattice
85,0.62,0.0,0,400,0,MD-B,lattice
86,0.52,0.0,0,400,0,MD-B,lattice
87,0.6075,0.0,0,400,0,MD-B,lattice
88,0.46,0.0,0,400,0,MD-B,lattice
89,0.7225,0.0,0,400,0,MD-B,lattice
90,0.6925,0.0,0,400,0,MD-B,lattice
91,0.7425,0.0,0,400,0,MD-B,lattice
92,0.6575,0.0,0,400,0,MD-B,lattice
93,0.5875,0.0,0,400,0,MD-B,lattice
94,0.53,0.0,0,400,0,MD-B,lattice
95,0.6675,0.0,0,400,0,MD-B,lattice
96,0.625,0.0,0,400,0,MD-B,lattice
97,0.4925,0.0,0,400,0,MD-B,lattice
98,0.51,0.0,0,400,0,MD-B,lattice
99,0.7275,0.0,0,400,0,MD-B,lattice
100,0.725,0.0,0,400,0,MD-B,lattice
101,0.5275,0.0,0,400,0,MD-B,lattice
102,0.5625,0.0,0,400,0,MD-B,lattice
103,0.6225,0.0,0,400,0,MD-B,lattice
104,0.685,0.0,0,400,0,MD-B,lattice
105,0.4725,0.0,0,400,0,MD-B,lattice
106,0.6225,0.0,0,400,0,MD-B,lattice
107,0.465,0.0,0,400,0,MD-B,lattice
108,0.6575,0.0,0,400,0,MD-B,lattice
109,0.5475,0.0,0,400,0,MD-B,lattice
110,0.7325,0.0,0,400,0,MD-B,lattice
111,0.42,0.0,0,400,0,MD-B,lattice
112,0.66,0.0,0,400,0,MD-B,lattice
113,0.645,0.0,0,400,0,MD-B,lattice
114,0.5225,0.0,0,400,0,MD-B,lattice
115,0.5325,0.0,0,400,0,MD-B,lattice
116,0.575,0.0,0,400,0,MD-B,lattice
117,0.6725,0.0,0,400,0,MD-B,lattice
118,0.5225,0.0,0,400,0,MD-B,lattice
119,0.66,0.0,0,400,0,MD-B,lattice
120,0.615,0.0,0,400,0,MD-B,lattice
121,0.475,0.0,0,400,0,MD-B,lattice
122,0.7,0.0,0,400,0,MD-B,lattice
123,0.6675,0.0,0,400,0,MD-B,lattice
124,0.6425,0.0,0,400,0,MD-B,lattice
125,0.605,0.0,0,400,0,MD-B,lattice
126,0.675,0.0,0,400,0,MD-B,lattice
127,0.5375,0.0,0,400,0,MD-B,lattice
128,0.5475,0.0,0,400,0,MD-B,lattice
129,0.695,0.0,0,400,0,MD-B,lattice
130,0.6,0.0,0,400,0,MD-B,lattice
131,0.67,0.0,0,400,0,MD-B,lattice
132,0.5425,0.0,0,400,0,MD-B,lattice
133,0.645,0.0,0,400,0,MD-B,lattice
134,0.6075,0.0,0,400,0,MD-B,lattice
135,0.6425,0.0,0,400,0,MD-B,lattice
136,0.6675,0.0,0,400,0,MD-B,lattice
137,0.6,0.0,0,400,0,MD-B,lattice
138,0.5025,0.0,0,400,0,MD-B,lattice
139,0.565,0.0,0,400,0,MD-B,lattice
140,0.665,0.0,0,400,0,MD-B,lattice
141,0.7025,0.0,0,400,0,MD-B,lattice
142,0.625,0.0,0,400,0,MD-B,lattice
143,0.705,0.0,0,400,0,MD-B,lattice
144,0.59,0.0,0,400,0,MD-B,lattice
145,0.43,0.0,0,400,0,MD-B,lattice
146,0.6475,0.0,0,400,0,MD-B,lattice
147,0.6025,0.0,0,400,0,MD-B,lattice
148,0.5575,0.0,0,400,0,MD-B,lattice
149,0.5925,0.0,0,400,0,MD-B,lattice
150,0.635,0.0,0,400,0,MD-B,lattice
151,0.3825,0.0,0,400,0,MD-B,lattice
152,0.555,0.0,0,400,0,MD-B,lattice
153,0.505,0.0,0,400,0,MD-B,lattice
154,0.6775,0.0,0,400,0,MD-B,lattice
155,0.6325,0.0,0,400,0,MD-B,lattice
156,0.345,0.0,0,400,0,MD-B,lattice
157,0.43,0.0,0,400,0,MD-B,lattice
158,0.5775,0.0,0,400,0,MD-B,lattice
159,0.7125,0.0,0,400,0,MD-B,lattice
160,0.6075,0.0,0,400,0,MD-B,lattice
161,0.63,0.0,0,400,0,MD-B,lattice
162,0.5275,0.0,0,400,0,MD-B,lattice
163,0.76,0.0,0,400,0,MD-B,lattice
164,0.5875,0.0,0,400,0,MD-B,lattice
165,0.71,0.0,0,400,0,MD-B,lattice
166,0.59,0.0,0,400,0,MD-B,lattice
167,0.68,0.0,0,400,0,MD-B,lattice
168,0.625,0.0,0,400,0,MD-B,lattice
169,0.665,0.0,0,400,0,MD-B,lattice
170,0.67,0.0,0,400,0,MD-B,lattice
171,0.4725,0.0,0,400,0,MD-B,lattice
172,0.5725,0.0,0,400,0,MD-B,lattice
173,0.6325,0.0,0,400,0,MD-B,lattice
174,0.65,0.0,0,400,0,MD-B,lattice
175,0.685,0.0,0,400,0,MD-B,lattice
176,0.5925,0.0,0,400,0,MD-B,lattice
177,0.535,0.0,0,400,0,MD-B,lattice
178,0.73,0.0,0,400,0,MD-B,lattice
179,0.6475,0.0,0,400,0,MD-B,lattice
180,0.4725,0.0,0,400,0,MD-B,lattice
181,0.6175,0.0,0,400,0,MD-B,lattice
182,0.7075,0.0,0,400,0,MD-B,lattice
183,0.655,0.0,0,400,0,MD-B,lattice
184,0.5325,0.0,0,400,0,MD-B,lattice
185,0.585,0.0,0,400,0,MD-B,lattice
186,0.6075,0.0,0,400,0,MD-B,lattice
187,0.7825,0.0,0,400,0,MD-B,lattice
188,0.5775,0.0,0,400,0,MD-B,lattice
189,0.7,0.0,0,400,0,MD-B,lattice
190,0.61,0.0,0,400,0,MD-B,lattice
191,0.6525,0.0,0,400,0,MD-B,lattice
192,0.7225,0.0,0,400,0,MD-B,lattice
193,0.6075,0.0,0,400,0,MD-B,lattice
194,0.7425,0.0,0,400,0,MD-B,lattice
195,0.5725,0.0,0,400,0,MD-B,lattice
196,0.7225,0.0,0,400,0,MD-B,lattice
197,0.645,0.0,0,400,0,MD-B,lattice
198,0.62,0.0,0,400,0,MD-B,lattice
199,0.6175,0.0,0,400,0,MD-B,lattice
200,0.725,0.0,0,400,0,MD-B,lattice
201,0.7175,0.0,0,400,0,MD-B,lattice
202,0.59,0.0,0,400,0,MD-B,lattice
203,0.555,0.0,0,400,0,MD-B,lattice
204,0.6475,0.0,0,400,0,MD-B,lattice
205,0.72,0.0,0,400,0,MD-B,lattice
206,0.59,0.0,0,400,0,MD-B,lattice
207,0.5675,0.0,0,400,0,MD-B,lattice
208,0.505,0.0,0,400,0,MD-B,lattice
209,0.5375,0.0,0,400,0,MD-B,lattice
210,0.5175,0.0,0,400,0,MD-B,lattice
211,0.5525,0.0,0,400,0,MD-B,lattice
212,0.7225,0.0,0,400,0,MD-B,lattice
213,0.7825,0.0,0,400,0,MD-B,lattice
214,0.7325,0.0,0,400,0,MD-B,lattice
215,0.5075,0.0,0,400,0,MD-B,lattice
216,0.66,0.0,0,400,0,MD-B,lattice
217,0.53,0.0,0,400,0,MD-B,lattice
218,0.54,0.0,0,400,0,MD-B,lattice
219,0.625,0.0,0,400,0,MD-B,lattice
220,0.6775,0.0,0,400,0,MD-B,lattice
221,0.6925,0.0,0,400,0,MD-B,lattice
222,0.6075,0.0,0,400,0,MD-B,lattice
223,0.5375,0.0,0,400,0,MD-B,lattice
224,0.7475,0.0,0,400,0,MD-B,lattice
225,0.4775,0.0,0,400,0,MD-B,lattice
226,0.7975,0.0,0,400,0,MD-B,lattice
227,0.6575,0.0,0,400,0,MD-B,lattice
228,0.6225,0.0,0,400,0,MD-B,lattice
229,0.72,0.0,0,400,0,MD-B,lattice
230,0.5975,0.0,0,400,0,MD-B,lattice
231,0.4875,0.0,0,400,0,MD-B,lattice
232,0.5825,0.0,0,400,0,MD-B,lattice
233,0.7325,0.0,0,400,0,MD-B,lattice
234,0.61,0.0,0,400,0,MD-B,lattice
235,0.72,0.0,0,400,0,MD-B,lattice
236,0.4975,0.0,0,400,0,MD-B,lattice
237,0.5625,0.0,0,400,0,MD-B,lattice
238,0.6375,0.0,0,400,0,MD-B,lattice
239,0.61,0.0,0,400,0,MD-B,lattice
240,0.6475,0.0,0,400,0,MD-B,lattice
241,0.5875,0.0,0,400,0,MD-B,lattice
242,0.435,0.0,0,400,0,MD-B,lattice
243,0.6625,0.0,0,400,0,MD-B,lattice
244,0.5825,0.0,0,400,0,MD-B,lattice
245,0.685,0.0,0,400,0,MD-B,lattice
246,0.46,0.0,0,400,0,MD-B,lattice
247,0.4675,0.0,0,400,0,MD-B,lattice
248,0.585,0.0,0,400,0,MD-B,lattice
249,0.56,0.0,0,400,0,MD-B,lattice
250,0.7525,0.0,0,400,0,MD-B,lattice
251,0.64,0.0,0,400,0,MD-B,lattice
252,0.75,0.0,0,400,0,MD-B,lattice
253,0.655,0.0,0,400,0,MD-B,lattice
254,0.64,0.0,0,400,0,MD-B,lattice
255,0.52,0.0,0,400,0,MD-B,lattice
256,0.74,0.0,0,400,0,MD-B,lattice
257,0.5275,0.0,0,400,0,MD-B,lattice
258,0.4525,0.0,0,400,0,MD-B,lattice
259,0.6225,0.0,0,400,0,MD-B,lattice
260,0.63,0.0,0,400,0,MD-B,lattice
261,0.5375,0.0,0,400,0,MD-B,lattice
262,0.6075,0.0,0,400,0,MD-B,lattice
263,0.6525,0.0,0,400,0,MD-B,lattice
264,0.6975,0.0,0,400,0,MD-B,lattice
265,0.61,0.0,0,400,0,MD-B,lattice
266,0.4875,0.0,0,400,0,MD-B,lattice
267,0.8125,0.0,0,400,0,MD-B,lattice
268,0.75,0.0,0,400,0,MD-B,lattice
269,0.455,0.0,0,400,0,MD-B,lattice
270,0.4375,0.0,0,400,0,MD-B,lattice
271,0.5925,0.0,0,400,0,MD-B,lattice
272,0.6475,0.0,0,400,0,MD-B,lattice
273,0.59,0.0,0,400,0,MD-B,lattice
274,0.61,0.0,0,400,0,MD-B,lattice
275,0.515,0.0,0,400,0,MD-B,lattice
276,0.545,0.0,0,400,0,MD-B,lattice
277,0.51,0.0,0,400,0,MD-B,lattice
278,0.575,0.0,0,400,0,MD-B,lattice
279,0.3975,0.0,0,400,0,MD-B,lattice
280,0.3675,0.0,0,400,0,MD-B,lattice
281,0.615,0.0,0,400,0,MD-B,lattice
282,0.61,0.0,0,400,0,MD-B,lattice
283,0.7225,0.0,0,400,0,MD-B,lattice
284,0.52,0.0,0,400,0,MD-B,lattice
285,0.6025,0.0,0,400,0,MD-B,lattice
286,0.5775,0.0,0,400,0,MD-B,lattice
287,0.5325,0.0,0,400,0,MD-B,lattice
288,0.6575,0.0,0,400,0,MD-B,lattice
289,0.7175,0.0,0,400,0,MD-B,lattice
290,0.57,0.0,0,400,0,MD-B,lattice
291,0.605,0.0,0,400,0,MD-B,lattice
292,0.505,0.0,0,400,0,MD-B,lattice
293,0.695,0.0,0,400,0,MD-B,lattice
294,0.685,0.0,0,400,0,MD-B,lattice
295,0.6525,0.0,0,400,0,MD-B,lattice
296,0.565,0.0,0,400,0,MD-B,lattice
297,0.56,0.0,0,400,0,MD-B,lattice
298,0.695,0.0,0,400,0,MD-B,lattice
299,0.53,0.0,0,400,0,MD-B,lattice
300,0.465,0.0,0,400,0,MD-B,lattice
301,0.475,0.0,0,400,0,MD-B,lattice
302,0.5375,0.0,0,400,0,MD-B,lattice
303,0.4525,0.0,0,400,0,MD-B,lattice
304,0.525,0.0,0,400,0,MD-B,lattice
305,0.6625,0.0,0,400,0,MD-B,lattice
306,0.56,0.0,0,400,0,MD-B,lattice
307,0.63,0.0,0,400,0,MD-B,lattice
308,0.6225,0.0,0,400,0,MD-B,lattice
309,0.48,0.0,0,400,0,MD-B,lattice
310,0.815,0.0,0,400,0,MD-B,lattice
311,0.6325,0.0,0,400,0,MD-B,lattice
312,0.54,0.0,0,400,0,MD-B,lattice
313,0.67,0.0,0,400,0,MD-B,lattice
314,0.5675,0.0,0,400,0,MD-B,lattice
315,0.73,0.0,0,400,0,MD-B,lattice
316,0.5575,0.0,0,400,0,MD-B,lattice
317,0.5225,0.0,0,400,0,MD-B,lattice
318,0.6475,0.0,0,400,0,MD-B,lattice
319,0.51,0.0,0,400,0,MD-B,lattice
320,0.535,0.0,0,400,0,MD-B,lattice
321,0.7525,0.0,0,400,0,MD-B,lattice
322,0.5825,0.0,0,400,0,MD-B,lattice
323,0.52,0.0,0,400,0,MD-B,lattice
324,0.6875,0.0,0,400,0,MD-B,lattice
325,0.575,0.0,0,400,0,MD-B,lattice
326,0.6875,0.0,0,400,0,MD-B,lattice
327,0.6125,0.0,0,400,0,MD-B,lattice
328,0.49,0.0,0,400,0,MD-B,lattice
329,0.7275,0.0,0,400,0,MD-B,lattice
330,0.5775,0.0,0,400,0,MD-B,lattice
331,0.57,0.0,0,400,0,MD-B,lattice
332,0.4825,0.0,0,400,0,MD-B,lattice
333,0.755,0.0,0,400,0,MD-B,lattice
334,0.6675,0.0,0,400,0,MD-B,lattice
335,0.625,0.0,0,400,0,MD-B,lattice
336,0.63,0.0,0,400,0,MD-B,lattice
337,0.5875,0.0,0,400,0,MD-B,lattice
338,0.56,0.0,0,400,0,MD-B,lattice
339,0.585,0.0,0,400,0,MD-B,lattice
340,0.5925,0.0,0,400,0,MD-B,lattice
341,0.5175,0.0,0,400,0,MD-B,lattice
342,0.695,0.0,0,400,0,MD-B,lattice
343,0.5775,0.0,0,400,0,MD-B,lattice
344,0.45,0.0,0,400,0,MD-B,lattice
345,0.745,0.0,0,400,0,MD-B,lattice
346,0.61,0.0,0,400,0,MD-B,lattice
347,0.675,0.0,0,400,0,MD-B,lattice
348,0.5775,0.0,0,400,0,MD-B,lattice
349,0.6225,0.0,0,400,0,MD-B,lattice
350,0.5975,0.0,0,400,0,MD-B,lattice
351,0.695,0.0,0,400,0,MD-B,lattice
352,0.5375,0.0,0,400,0,MD-B,lattice
353,0.655,0.0,0,400,0,MD-B,lattice
354,0.74,0.0,0,400,0,MD-B,lattice
355,0.47,0.0,0,400,0,MD-B,lattice
356,0.6925,0.0,0,400,0,MD-B,lattice
357,0.6525,0.0,0,400,0,MD-B,lattice
358,0.615,0.0,0,400,0,MD-B,lattice
359,0.5725,0.0,0,400,0,MD-B,lattice
360,0.4725,0.0,0,400,0,MD-B,lattice
361,0.595,0.0,0,400,0,MD-B,lattice
362,0.695,0.0,0,400,0,MD-B,lattice
363,0.62,0.0,0,400,0,MD-B,lattice
364,0.665,0.0,0,400,0,MD-B,lattice
365,0.6325,0.0,0,400,0,MD-B,lattice
366,0.59,0.0,0,400,0,MD-B,lattice
367,0.6425,0.0,0,400,0,MD-B,lattice
368,0.565,0.0,0,400,0,MD-B,lattice
369,0.7825,0.0,0,400,0,MD-B,lattice
370,0.465,0.0,0,400,0,MD-B,lattice
371,0.6925,0.0,0,400,0,MD-B,lattice
372,0.61,0.0,0,400,0,MD-B,lattice
373,0.645,0.0,0,400,0,MD-B,lattice
374,0.6525,0.0,0,400,0,MD-B,lattice
375,0.6325,0.0,0,400,0,MD-B,lattice
376,0.59,0.0,0,400,0,MD-B,lattice
377,0.71,0.0,0,400,0,MD-B,lattice
378,0.6225,0.0,0,400,0,MD-B,lattice
379,0.7075,0.0,0,400,0,MD-B,lattice
380,0.7325,0.0,0,400,0,MD-B,lattice
381,0.6625,0.0,0,400,0,MD-B,lattice
382,0.565,0.0,0,400,0,MD-B,lattice
383,0.71,0.0,0,400,0,MD-B,lattice
384,0.4725,0.0,0,400,0,MD-B,lattice
385,0.5625,0.0,0,400,0,MD-B,lattice
386,0.6025,0.0,0,400,0,MD-B,lattice
387,0.5375,0.0,0,400,0,MD-B,lattice
388,0.6225,0.0,0,400,0,MD-B,lattice
389,0.615,0.0,0,400,0,MD-B,lattice
390,0.5175,0.0,0,400,0,MD-B,lattice
391,0.5325,0.0,0,400,0,MD-B,lattice
392,0.7725,0.0,0,400,0,MD-B,lattice
393,0.795,0.0,0,400,0,MD-B,lattice
394,0.6625,0.0,0,400,0,MD-B,lattice
395,0.645,0.0,0,400,0,MD-B,lattice
