experiment,fri,gsi,adopters,N,avg_of_thresholds,experiment_id,topology
0,0.64,0.0,0,400,0,MD-B,smallworld
1,0.6675,0.0,0,400,0,MD-B,smallworld
2,0.7225,0.0,0,400,0,MD-B,smallworld
3,0.5875,0.0,0,400,0,MD-B,smallworld
4,0.8125,0.0,0,400,0,MD-B,smallworld
5,0.6775,0.0,0,400,0,MD-B,smallworld
6,0.7625,0.0,0,400,0,MD-B,smallworld
7,0.705,0.0,0,400,0,MD-B,smallworld
8,0.72,0.0,0,400,0,MD-B,smallworld
9,0.7025,0.0,0,400,0,MD-B,smallworld
10,0.695,0.0,0,400,0,MD-B,smallworld
11,0.7025,0.0,0,400,0,MD-B,smallworld
12,0.5175,0.0,0,400,0,MD-B,smallworld
13,0.58,0.0,0,400,0,MD-B,smallworld
14,0.44,0.0,0,400,0,MD-B,smallworld
15,0.61,0.0,0,400,0,MD-B,smallworld
16,0.5475,0.0,0,400,0,MD-B,smallworld
17,0.42,0.0,0,400,0,MD-B,smallworld
18,0.6125,0.0,0,400,0,MD-B,smallworld
19,0.6225,0.0,0,400,0,MD-B,smallworld
20,0.6275,0.0,0,400,0,MD-B,smallworld
21,0.5075,0.0,0,400,0,MD-B,smallworld
22,0.5275,0.0,0,400,0,MD-B,smallworld
23,0.545,0.0,0,400,0,MD-B,smallworld
24,0.6325,0.0,0,400,0,MD-B,smallworld
25,0.775,0.0,0,400,0,MD-B,smallworld
26,0.6975,0.0,0,400,0,MD-B,smallworld
27,0.7475,0.0,0,400,0,MD-B,smallworld
28,0.605,0.0,0,400,0,MD-B,smallworld
29,0.64,0.0,0,400,0,MD-B,smallworld
30,0.5675,0.0,0,400,0,MD-B,smallworld
31,0.805,0.0,0,400,0,MD-B,smallworld
32,0.5475,0.0,0,400,0,MD-B,smallworld
33,0.615,0.0,0,400,0,MD-B,smallworld
34,0.4225,0.0,0,400,0,MD-B,smallworld
35,0.7375,0.0,0,400,0,MD-B,smallworld
36,0.425,0.0,0,400,0,MD-B,smallworld
37,0.5625,0.0,0,400,0,MD-B,smallworld
38,0.7925,0.0,0,400,0,MD-B,smallworld
39,0.605,0.0,0,400,0,MD-B,smallworld
40,0.715,0.0,0,400,0,MD-B,smallworld
41,0.3325,0.0,0,400,0,MD-B,smallworld
42,0.63,0.0,0,400,0,MD-B,smallworld
43,0.68,0.0,0,400,0,MD-B,smallworld
44,0.635,0.0,0,400,0,MD-B,smallworld
45,0.6825,0.0,0,400,0,MD-B,smallworld
46,0.805,0.0,0,400,0,MD-B,smallworld
47,0.485,0.0,0,400,0,MD-B,smallworld
48,0.525,0.0,0,400,0,MD-B,smallworld
49,0.82,0.0,0,400,0,MD-B,smallworld
50,0.5325,0.0,0,400,0,MD-B,smallworld
51,0.475,0.0,0,400,0,MD-B,smallworld
52,0.6225,0.0,0,400,0,MD-B,smallworld
53,0.54,0.0,0,400,0,MD-B,smallworld
54,0.55,0.0,0,400,0,MD-B,smallworld
55,0.4625,0.0,0,400,0,MD-B,smallworld
56,0.545,0.0,0,400,0,MD-B,smallworld
57,0.5025,0.0,0,400,0,MD-B,smallworld
58,0.6275,0.0,0,400,0,MD-B,smallworld
59,0.59,0.0,0,400,0,MD-B,smallworld
60,0.685,0.0,0,400,0,MD-B,smallworld
61,0.65,0.0,0,400,0,MD-B,smallworld
62,0.5275,0.0,0,400,0,MD-B,smallworld
63,0.6725,0.0,0,400,0,MD-B,smallworld
64,0.7925,0.0,0,400,0,MD-B,smallworld
65,0.75,0.0,0,400,0,MD-B,smallworld
66,0.58,0.0,0,400,0,MD-B,smallworld
67,0.6225,0.0,0,400,0,MD-B,smallworld
68,0.685,0.0,0,400,0,MD-B,smallworld
69,0.5875,0.0,0,400,0,MD-B,smallworld
70,0.4825,0.0,0,400,0,MD-B,smallworld
71,0.5425,0.0,0,400,0,MD-B,smallworld
72,0.71,0.0,0,400,0,MD-B,smallworld
73,0.7425,0.0,0,400,0,MD-B,smallworld
74,0.6175,0.0,0,400,0,MD-B,smallworld
75,0.7975,0.0,0,400,0,MD-B,smallworld
